,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-10,FA-LEARN-LDR-LR-1,FA-LEARN-LDR-LR-2,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-LR-20,FA-LEARN-LDR-NN-10,FA-LEARN-LDR-NN-1,FA-LEARN-LDR-NN-2,FA-LEARN-LDR-NN-5,FA-LEARN-LDR-NN-20,FA-LEARN-LR-10,FA-LEARN-LR-1,FA-LEARN-LR-2,FA-LEARN-LR-5,FA-LEARN-LR-20,FA-LEARN-NN-10,FA-LEARN-NN-1,iteration,percentage
0,0.23832407141832312,0.16727558308140678,0.16793395955292298,0.16749334704567292,0.1732194185829721,0.14740918256660981,0.16889409751898515,0.16889409751898515,0.1480571562785136,0.14990781358964042,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14970573567765585,0.15220251469467347,0.15105308453975175,0.15034771919781356,0.15059108336406904,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14761829612691732,0.15051132480178306,0,0
0,0.23832407141832312,0.16727558308140678,0.16793395955292298,0.16749334704567292,0.1732194185829721,0.14740918256660981,0.16889409751898515,0.16889409751898515,0.1480571562785136,0.14990781358964042,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14970573567765585,0.15220251469467347,0.15105308453975175,0.15034771919781356,0.15059108336406904,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14761829612691732,0.15051132480178306,1,0
0,0.23832407141832312,0.16727558308140678,0.16793395955292298,0.16749334704567292,0.1732194185829721,0.14740918256660981,0.16889409751898515,0.16889409751898515,0.1480571562785136,0.14990781358964042,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14970573567765585,0.15220251469467347,0.15105308453975175,0.15034771919781356,0.15059108336406904,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14761829612691732,0.15051132480178306,2,0
0,0.23832407141832312,0.16727558308140678,0.16793395955292298,0.16749334704567292,0.1732194185829721,0.14740918256660981,0.16889409751898515,0.16889409751898515,0.1480571562785136,0.14990781358964042,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14970573567765585,0.15220251469467347,0.15105308453975175,0.15034771919781356,0.15059108336406904,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14761829612691732,0.15051132480178306,3,0
0,0.23832407141832312,0.16727558308140678,0.16793395955292298,0.16749334704567292,0.1732194185829721,0.14740918256660981,0.16889409751898515,0.16889409751898515,0.1480571562785136,0.14990781358964042,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14970573567765585,0.15220251469467347,0.15105308453975175,0.15034771919781356,0.15059108336406904,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.14761829612691732,0.15051132480178306,4,0
0,0.23968057577199242,0.1679980779623508,0.16858883985372544,0.16814234990486984,0.17394051528620838,0.14796548449675878,0.17051531841379042,0.16953818478820062,0.1484368113832299,0.15045196340698794,0.16931926543115272,0.16931926543115272,0.16931926543115272,0.16931926543115272,0.16931926543115272,0.14967070395612297,0.15242667016299935,0.15099226156143225,0.15041665246642244,0.15083172281227653,0.17036585245309321,0.17036585245309321,0.17036585245309321,0.17036585245309321,0.17036585245309321,0.14853293294490946,0.15109274345453078,0,0.001
0,0.2386016765467107,0.16738395162935804,0.16799000234561307,0.16756215435951996,0.17334731167558462,0.14768789070842395,0.17120248253411166,0.1692904718767709,0.14919630410709714,0.15122444797358964,0.1691463680633095,0.1691463680633095,0.1691463680633095,0.1691463680633095,0.1691463680633095,0.14980206119776437,0.15200961271143323,0.15124540369988787,0.15058508325453193,0.15055552350800505,0.17045408051593416,0.17045408051593416,0.17045408051593416,0.17045408051593416,0.17045408051593416,0.14859868821797456,0.15107471940050493,1,0.001
0,0.23850637629576854,0.1673599449615597,0.16798879636187974,0.1675479074602009,0.17327651299052593,0.14756525719615285,0.17104449281375983,0.16967439337992285,0.14958989700734857,0.15110623779032006,0.16917824127615996,0.16917824127615996,0.16917824127615996,0.16917824127615996,0.16917824127615996,0.14994818069979254,0.1524700168187947,0.1514155644605083,0.15043154600901792,0.15139591911841757,0.171012048665193,0.171012048665193,0.171012048665193,0.171012048665193,0.171012048665193,0.14878819111190716,0.15120838414390456,2,0.001
0,0.23900180007799973,0.16745721331667576,0.16807729179859948,0.1676541113233917,0.1734088011342758,0.1476198165101304,0.17207599392352227,0.17004468616019763,0.14911943019625107,0.15119543066277472,0.16894662220459208,0.16894662220459208,0.16894662220459208,0.16894662220459208,0.16894662220459208,0.14972041812230155,0.1521986309943771,0.15139197391466958,0.15017838872541553,0.15072622997273116,0.16976426270423875,0.16976426270423875,0.16976426270423875,0.16976426270423875,0.16976426270423875,0.1482751823258994,0.150647276504218,3,0.001
0,0.23910597318264515,0.16752124338796995,0.1681266302784272,0.16771032753842796,0.17343101755558574,0.14756058354770757,0.17156232715770528,0.1693295670020767,0.14992390687194374,0.15107411253702857,0.1691531813185481,0.1691531813185481,0.1691531813185481,0.1691531813185481,0.1691531813185481,0.14991173698210056,0.15191504587830706,0.15111807615041986,0.15032908191140046,0.1508225099348277,0.1696784698646967,0.1696784698646967,0.1696784698646967,0.1696784698646967,0.1696784698646967,0.148344329290219,0.15072195652303283,4,0.001
