,Number missing,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-10,FA-LEARN-LDR-LR-1,FA-LEARN-LDR-LR-2,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-LR-20,FA-LEARN-LDR-NN-10,FA-LEARN-LDR-NN-1,FA-LEARN-LDR-NN-2,FA-LEARN-LDR-NN-5,FA-LEARN-LDR-NN-20,FA-LEARN-LR-10,FA-LEARN-LR-1,FA-LEARN-LR-2,FA-LEARN-LR-5,FA-LEARN-LR-20,FA-LEARN-NN-10,FA-LEARN-NN-1,FA-LEARN-NN-2,FA-LEARN-NN-5,FA-LEARN-NN-20,Count
0,0,0.23832407141832312,0.16727558308140678,0.16793395955292298,0.16749334704567292,0.1732194185829721,0.14740918256660981,0.16889409751898515,0.16889409751898515,0.1480571562785136,0.14990781358964045,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.15096332982668664,0.1512933538780559,0.15048641600889293,0.15104901773808807,0.14884846713826888,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.16889409751898515,0.15063147099689658,0.1488488351303335,0.15112302446262224,0.15001059331378522,0.14969385290911044,20523
0,0,0.24276598232896168,0.16575806682226538,0.16598198880808673,0.16563155851589254,0.17123240344227303,0.14686974128187877,0.17552373992037673,0.17361668732900173,0.15205208342715468,0.1518828892922637,0.1659768516421358,0.1658191915236372,0.1644508096498287,0.16577946947686303,0.16562816763413343,0.1464982108066819,0.14813139685915624,0.147860480047085,0.14795066014900113,0.14567450024766776,0.16934457768112107,0.16934457768112107,0.16934457768112107,0.16934457768112107,0.16934457768112107,0.14870515370800308,0.14585870182964433,0.15249050986874116,0.1485836645575602,0.148071240422769,9190
1,1,0.24264397338772853,0.1749412029672006,0.17516881264584794,0.17469141306617086,0.18158245633895548,0.15743925048717233,0.18321993364389716,0.18232225276676445,0.1587943976217368,0.15999950124989756,0.17503592297975284,0.17520419107696794,0.17464550951182375,0.1748213671047937,0.17465015819862734,0.15521507980978472,0.15638735837272025,0.15544017577125777,0.15734622821739475,0.1544904899760128,0.1791026604092647,0.1791026604092647,0.1791026604092647,0.1791026604092647,0.1791026604092647,0.1576560933686128,0.15513562306130949,0.16252400502511372,0.15700984838068716,0.15680311273104391,7887
2,2,0.2502782351469298,0.1725608064119223,0.17316657379623343,0.17244293937982128,0.18250152832463007,0.1510914155821979,0.18275521011137943,0.1808400587676366,0.157536332100173,0.15241903655184622,0.17414364645067634,0.17206140019606436,0.17402482676631598,0.1743519816002964,0.1735449883101078,0.14987043630396935,0.15235765424210013,0.15183349094006307,0.1548331352333398,0.15128671830904522,0.17855321945685804,0.17855321945685804,0.17855321945685804,0.17855321945685804,0.17855321945685804,0.15282589432364133,0.15265413533396519,0.16254047944949074,0.15299952884692952,0.153282807211031,2802
3,3,0.2899966873154213,0.17461561372562795,0.17536866320476957,0.17482476743075087,0.18264279799382735,0.14776995239176507,0.18884189791807546,0.18052373304986338,0.14570587897285595,0.1451256480232654,0.17679098756409092,0.17168594991082498,0.17445295542962688,0.17646051562459264,0.17512095308459522,0.14158564181222055,0.14628936355807828,0.14237060775575983,0.14596418792215102,0.14489839666115598,0.18018193107063996,0.18018193107063996,0.18018193107063996,0.18018193107063996,0.18018193107063996,0.14599661821002724,0.14440722012688076,0.15321463405693644,0.14688925369954722,0.14635540784667087,579
4,4,0.3313568905530432,0.22282923487539183,0.22113511807723926,0.22215239790799976,0.24080711842403194,0.15480061279677457,0.20761587524341327,0.2193302027046453,0.15243413686129517,0.15012092307460478,0.2180245851621654,0.20747683037866846,0.20405960905187648,0.21534844276619539,0.2231489617358402,0.16208442042466295,0.16848762285909183,0.16932823381193043,0.17887227731548155,0.17476976863921997,0.2144812547990198,0.2144812547990198,0.2144812547990198,0.2144812547990198,0.2144812547990198,0.1714418577838961,0.16704764769178965,0.18544452001139078,0.17552029941424224,0.17244102903240152,59
5,5,0.05140773276416557,0.32990712761962143,0.33757442376367913,0.32588394025662465,0.38365226515580375,0.3033116523925892,0.13672692864886124,0.14161100686611505,0.09461745980584725,0.10119003497170861,0.10754121104067352,0.1734139023837203,0.18535359412881547,0.17327995829299217,0.09342150386745421,0.052349161253090366,0.05480539092210761,0.112734364480088,0.07351838565882887,0.06068345302314024,0.13822697415494192,0.13822697415494192,0.13822697415494192,0.13822697415494192,0.13822697415494192,0.0752639886368745,0.06478547860382179,0.06896704291812746,0.07267279296367245,0.08606198021096564,6
0,0,0.25416228639043914,0.17525354550765154,0.175588151576782,0.17518197314712583,0.18336710327295577,0.15570786677640805,0.1847169291707707,0.1842312606311766,0.15928684233366422,0.1596840959664975,0.17821394816006386,0.17612528028318053,0.17622633377014033,0.177914575184226,0.17706002055088788,0.1565996585820734,0.15628598009575337,0.1558631778855246,0.1572841701884394,0.15439481219229836,0.17866352472283661,0.17866352472283661,0.17866352472283661,0.17866352472283661,0.17866352472283661,0.15740547844210478,0.15555253157020654,0.16330922596263012,0.15682703701504658,0.156779288788905,9556
1,1,0.2336307647895421,0.16230305286620303,0.16229822554976578,0.1621382892737167,0.16610646874035945,0.14429938592323147,0.1725868357559408,0.17086827909817723,0.1495268319849587,0.1489722883937725,0.16320504239414935,0.16420550301152773,0.16212423652791844,0.16358367370987312,0.16343711827328333,0.14526053374309886,0.14474388106704653,0.14459844980268158,0.14651532322588795,0.14389625528277347,0.16714245925884114,0.16714245925884114,0.16714245925884114,0.16714245925884114,0.16714245925884114,0.14610897373072843,0.14454274297693537,0.1511868143580182,0.14516585017685538,0.1454977865137855,7829
2,2,0.23227764527052544,0.16189531107442026,0.16240465886884242,0.16192590890241224,0.16354144423983963,0.1434608106999872,0.17379619173204972,0.1674292960779647,0.14741172999112476,0.15246170836168152,0.1605454955581996,0.1633651862919538,0.16179778178698867,0.1606721748239094,0.16051928363608348,0.14927054317901114,0.148548940701457,0.14653583596366773,0.14970582987589623,0.14727482903818404,0.17159995884127716,0.17159995884127716,0.17159995884127716,0.17159995884127716,0.17159995884127716,0.14946833862387168,0.1463082306303598,0.15033365335288074,0.1487136549757441,0.14520874058834052,2435
